path,filename,original_class,class,width,height,mode,file_hash
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (63).jpg,Normal case (63).jpg,Normal cases,normal,512,512,RGB,55637fe67a6094f81986f18beb0122f2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (489).jpg,Malignant case (489).jpg,Malignant cases,malignant,512,512,RGB,1960c593a1622c66d8150a2b1e3cb227
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (293).jpg,Normal case (293).jpg,Normal cases,normal,512,512,RGB,faf102cbb78dcac1d3cbb18beaf5e4bb
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (229).jpg,Malignant case (229).jpg,Malignant cases,malignant,623,512,RGB,ca7f4f145d5132d659e48436eb12e766
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (77).jpg,Malignant case (77).jpg,Malignant cases,malignant,512,512,RGB,e4bc02064aa814078dc29c19090dc37d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (236).jpg,Normal case (236).jpg,Normal cases,normal,512,512,RGB,811ee93069dcd1be02c26e1d81c165cf
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (106).jpg,Malignant case (106).jpg,Malignant cases,malignant,512,512,RGB,088223169d4fb8417b3a61dd961ac679
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (355).jpg,Malignant case (355).jpg,Malignant cases,malignant,512,512,RGB,cf53567f2637af61c3581cfbad395778
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (218).jpg,Malignant case (218).jpg,Malignant cases,malignant,801,512,RGB,35cd5a3c4c46ceb2780ed56b4885a19c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (498).jpg,Malignant case (498).jpg,Malignant cases,malignant,512,512,RGB,6b18817307241b17ba6a70c4f7ee98a1
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (455).jpg,Malignant case (455).jpg,Malignant cases,malignant,512,512,RGB,1f82614c7b002fbce06b961bc2ec6b28
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (197).jpg,Normal case (197).jpg,Normal cases,normal,512,512,RGB,2d3bd63d907762bd27022ff1f2a61538
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (312).jpg,Malignant case (312).jpg,Malignant cases,malignant,512,512,RGB,fb83308236a5a0b1a786ce513a5b532c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (75).jpg,Normal case (75).jpg,Normal cases,normal,512,512,RGB,fd070dc166ac4ed3b857792368ae8429
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (394).jpg,Malignant case (394).jpg,Malignant cases,malignant,512,512,RGB,8b5718cdb2d2de21c5f0ade182f44110
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (202).jpg,Malignant case (202).jpg,Malignant cases,malignant,801,512,RGB,aab6b69ced7e33f9b954a58e3d977e6d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (234).jpg,Normal case (234).jpg,Normal cases,normal,512,512,RGB,1ef85d65f7f6262660558b63f04e9c55
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (511).jpg,Malignant case (511).jpg,Malignant cases,malignant,512,512,RGB,cda110424bd0274f6ef9d273c0ad3f29
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (90).jpg,Malignant case (90).jpg,Malignant cases,malignant,512,512,RGB,65f1def0674d8aca02713206b695f7ab
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (29).jpg,Bengin case (29).jpg,Bengin cases,benign,512,512,RGB,d5d5dd09a4c4ee715ef90f4b8a0e2483
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (279).jpg,Normal case (279).jpg,Normal cases,normal,512,512,RGB,0a97be58244d670ea5670df2e5c5f059
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (239).jpg,Malignant case (239).jpg,Malignant cases,malignant,623,512,RGB,56060e64b29a614c912eee9d35350fe2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (109).jpg,Bengin case (109).jpg,Bengin cases,benign,512,512,RGB,0d92a4d6d176b557771cd66f4b372bc5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (346).jpg,Malignant case (346).jpg,Malignant cases,malignant,512,512,RGB,b7513d939937c3e4148ae4f0b822c30b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (277).jpg,Normal case (277).jpg,Normal cases,normal,512,512,RGB,6f0e8ccf73d4fb9c15d7c55f236ecfef
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (108).jpg,Malignant case (108).jpg,Malignant cases,malignant,512,512,RGB,042412ba929ca3b31ef86c4292da5ca4
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (228).jpg,Malignant case (228).jpg,Malignant cases,malignant,623,512,RGB,eaaf3f7bbf1a22903bd508a5dbd37aa5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (527).jpg,Malignant case (527).jpg,Malignant cases,malignant,512,512,RGB,5c1ebb4aecd1277eeb91c1cd1431d92b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (105).jpg,Malignant case (105).jpg,Malignant cases,malignant,512,512,RGB,d23ab879363e158eb2a60c400a6beff5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (124).jpg,Normal case (124).jpg,Normal cases,normal,512,512,RGB,fcd9076917e4c11e876c2f5408b2fc23
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (1).jpg,Bengin case (1).jpg,Bengin cases,benign,512,512,RGB,48244f06d0e4113db2804de0508cb268
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (429).jpg,Malignant case (429).jpg,Malignant cases,malignant,512,512,RGB,da68b3dea85aa655d57e0219db522fee
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (104).jpg,Normal case (104).jpg,Normal cases,normal,512,512,RGB,b4335f144c09b7100b0ca21cf2856c5e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (515).jpg,Malignant case (515).jpg,Malignant cases,malignant,512,512,RGB,6a603c632c35e63ebc22fa4e9ba32ee4
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (255).jpg,Normal case (255).jpg,Normal cases,normal,512,512,RGB,23310a1cced9b3cf3d4a4a5dc3dad990
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (185).jpg,Normal case (185).jpg,Normal cases,normal,512,512,RGB,8f44dbf9c1f3d5efc799446eb20b886b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (180).jpg,Malignant case (180).jpg,Malignant cases,malignant,511,404,RGB,0c9ffffd1fc0453c1dcf10cd78a46969
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (44).jpg,Malignant case (44).jpg,Malignant cases,malignant,512,512,RGB,8eb28fcca1ad2b57c01b404d7652e082
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (350).jpg,Malignant case (350).jpg,Malignant cases,malignant,512,512,RGB,becf60bce7c75e1ee8718aac91fc9b11
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (114).jpg,Malignant case (114).jpg,Malignant cases,malignant,512,512,RGB,0f7b58fa5d62a47b8d2e3055dc959aaa
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (377).jpg,Normal case (377).jpg,Normal cases,normal,512,512,RGB,c0a46aca6de4c3e8a2983000c20baed3
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (80).jpg,Normal case (80).jpg,Normal cases,normal,512,512,RGB,94437277ceaf05c5bcb3cdc76714458f
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (287).jpg,Normal case (287).jpg,Normal cases,normal,512,512,RGB,09134a56933fbb998a0cf7a0574732c7
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (305).jpg,Normal case (305).jpg,Normal cases,normal,512,512,RGB,c80670dd64b0a60f49475dbc6d0923d7
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (437).jpg,Malignant case (437).jpg,Malignant cases,malignant,512,512,RGB,1ad09d8e401172e37979bc51b5d1e364
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (282).jpg,Normal case (282).jpg,Normal cases,normal,512,512,RGB,8fe87e7a63663af339c74392db245dc8
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (10).jpg,Normal case (10).jpg,Normal cases,normal,512,512,RGB,3a93cd31dbf94309570d97a8a9535b9c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (152).jpg,Normal case (152).jpg,Normal cases,normal,512,512,RGB,572ad7976a0477be99fc610b43f71132
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (47).jpg,Bengin case (47).jpg,Bengin cases,benign,512,512,RGB,c958130c1506147af4c7e0868c53dd23
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (272).jpg,Normal case (272).jpg,Normal cases,normal,512,512,RGB,f0358f972ad89244a7d7c13780a8f987
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (23).jpg,Malignant case (23).jpg,Malignant cases,malignant,512,512,RGB,33f79428b36489df5cd320b699e6f44f
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (397).jpg,Normal case (397).jpg,Normal cases,normal,512,512,RGB,ff388cd993edf03122231802c787aa45
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (260).jpg,Normal case (260).jpg,Normal cases,normal,512,512,RGB,711af0125c18ed8c8fc6c522f6dea6de
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (410).jpg,Malignant case (410).jpg,Malignant cases,malignant,512,512,RGB,ee786433437fc703dab37edc775c07ed
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (213).jpg,Normal case (213).jpg,Normal cases,normal,512,512,RGB,58830d13dc2c17e63d83f92df111ee7c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (559).jpg,Malignant case (559).jpg,Malignant cases,malignant,512,512,RGB,b4b349aa4ab29fc4326998f82ce1758b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (494).jpg,Malignant case (494).jpg,Malignant cases,malignant,512,512,RGB,61195accef066babce20ac57b812a599
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (98).jpg,Malignant case (98).jpg,Malignant cases,malignant,512,512,RGB,a0722a5ee3dbb7d11b46e0b9952ae4b9
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (112).jpg,Malignant case (112).jpg,Malignant cases,malignant,512,512,RGB,2ca4d8b685b5adc674609da88a5866cc
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (124).jpg,Malignant case (124).jpg,Malignant cases,malignant,512,512,RGB,c49ebedc982c966cb70fbbca39778d21
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (280).jpg,Malignant case (280).jpg,Malignant cases,malignant,512,512,RGB,fa9b856a8ef6686f2029ade02f288ed5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (101).jpg,Malignant case (101).jpg,Malignant cases,malignant,512,512,RGB,459ed6537a2e6ebb53c2217d693d779d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (35).jpg,Normal case (35).jpg,Normal cases,normal,512,512,RGB,659bc85518c5091c65c318006d6ae76a
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (39).jpg,Malignant case (39).jpg,Malignant cases,malignant,512,512,RGB,ee0c5c33ffa1116e602325303e397203
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (200).jpg,Normal case (200).jpg,Normal cases,normal,512,512,RGB,9e6ff78dfa546c0dadcc8dc5d62223c7
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (277).jpg,Malignant case (277).jpg,Malignant cases,malignant,512,512,RGB,dd2159609f1c152f10f7b201f6a0bbf2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (191).jpg,Normal case (191).jpg,Normal cases,normal,512,512,RGB,4ffc12efe03014063e6d7bcc58fbe8ff
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (386).jpg,Normal case (386).jpg,Normal cases,normal,512,512,RGB,b95bd7f2fdcd6d4bee01d4bd5274b675
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (55).jpg,Malignant case (55).jpg,Malignant cases,malignant,512,512,RGB,9337d2b9222ca50c87ff08798006ac55
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (268).jpg,Normal case (268).jpg,Normal cases,normal,512,512,RGB,0f5a6c222a328628f5bc368b812cb539
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Malignant cases\Malignant case (384).jpg,Malignant case (384).jpg,Malignant cases,malignant,512,512,RGB,f96befb336aac215e4b1f52234b26f02
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Normal cases\Normal case (91).jpg,Normal case (91).jpg,Normal cases,normal,512,512,RGB,45f2197cec4ed9e47c6aeced7c1e793c
