path,filename,original_class,class,width,height,mode,file_hash
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (11).jpg,Bengin case (11).jpg,Bengin cases,benign,512,512,RGB,784a853b95b4b6c85bed2c2eee65971e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (110).jpg,Bengin case (110).jpg,Bengin cases,benign,512,512,RGB,f6f969de87cf893ad4e5d449cfc5c0bd
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (111).jpg,Bengin case (111).jpg,Bengin cases,benign,512,512,RGB,8be43eb156c5f9546daf39b940ea00db
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (112).jpg,Bengin case (112).jpg,Bengin cases,benign,512,512,RGB,896bb0cd2849e3af45cbbe5220162506
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (114).jpg,Bengin case (114).jpg,Bengin cases,benign,512,512,RGB,01da37fceb8444d1d35204fe202073da
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (116).jpg,Bengin case (116).jpg,Bengin cases,benign,512,512,RGB,f641480b1ab9c721f84a665971576ce8
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (117).jpg,Bengin case (117).jpg,Bengin cases,benign,512,512,RGB,c2225e79a0e27e310706434eb0b4d7fd
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (118).jpg,Bengin case (118).jpg,Bengin cases,benign,512,512,RGB,ad9246030958bbd3cf4b93582191f3e7
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (119).jpg,Bengin case (119).jpg,Bengin cases,benign,512,512,RGB,bc768b3572c34647d155845d1dcd8fba
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (12).jpg,Bengin case (12).jpg,Bengin cases,benign,512,512,RGB,deaa521ebe5b4e0a9ab905a3b67c8d75
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (120).jpg,Bengin case (120).jpg,Bengin cases,benign,512,512,RGB,3ba2883e293cd512a8fb11fa82a5b659
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (13).jpg,Bengin case (13).jpg,Bengin cases,benign,512,512,RGB,e508170d71b7274b56ef96473532e1c0
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (14).jpg,Bengin case (14).jpg,Bengin cases,benign,512,512,RGB,7d6978215eb8dda0acd20827e1aad7fb
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (15).jpg,Bengin case (15).jpg,Bengin cases,benign,512,512,RGB,ea15ef1f04bb13aa84c47849bcd49ba4
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (17).jpg,Bengin case (17).jpg,Bengin cases,benign,512,512,RGB,52239778033df4fac3abe66494fe825e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (19).jpg,Bengin case (19).jpg,Bengin cases,benign,512,512,RGB,1606ae2fbd340f035416bb07f1990274
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (2).jpg,Bengin case (2).jpg,Bengin cases,benign,512,512,RGB,cf24e5267d768676fe97f61b002f0b2d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (20).jpg,Bengin case (20).jpg,Bengin cases,benign,512,512,RGB,d0f8b23e24f1332e04f18011b3acf362
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (21).jpg,Bengin case (21).jpg,Bengin cases,benign,512,512,RGB,d6826f3ad68e0bca5c31f94638f0a666
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (22).jpg,Bengin case (22).jpg,Bengin cases,benign,512,512,RGB,092589d7fbdb7b330150cc2917f75244
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (24).jpg,Bengin case (24).jpg,Bengin cases,benign,512,512,RGB,71c88f410a23e22aa431a127e11ada7b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (25).jpg,Bengin case (25).jpg,Bengin cases,benign,512,512,RGB,106aa907bf9b29e1201a1af25a65e85e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (26).jpg,Bengin case (26).jpg,Bengin cases,benign,512,512,RGB,8fa1ab1f1e7384982c71d7bf3a13c021
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (28).jpg,Bengin case (28).jpg,Bengin cases,benign,512,512,RGB,7b3a7ea5e98bb3d280493ce3fdda1ceb
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (29).jpg,Bengin case (29).jpg,Bengin cases,benign,512,512,RGB,d5d5dd09a4c4ee715ef90f4b8a0e2483
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (3).jpg,Bengin case (3).jpg,Bengin cases,benign,512,512,RGB,1c3db601f2a0026a8a8020f368a9aa01
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (30).jpg,Bengin case (30).jpg,Bengin cases,benign,512,512,RGB,b592a4d8ce5911f63f2f93e07f4aa8b0
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (31).jpg,Bengin case (31).jpg,Bengin cases,benign,512,512,RGB,16fb7daefe74164f28272c7874074069
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (32).jpg,Bengin case (32).jpg,Bengin cases,benign,512,512,RGB,bee31bb45a28370d5550381a55b0e706
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (33).jpg,Bengin case (33).jpg,Bengin cases,benign,512,512,RGB,30a776e27bd48f9601eefd3bc9696a62
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (34).jpg,Bengin case (34).jpg,Bengin cases,benign,512,512,RGB,6f935f9833f01788d081d8ba279d53c5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (35).jpg,Bengin case (35).jpg,Bengin cases,benign,512,512,RGB,0b4b005e3beea8ef63c0100d1d401b3d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (36).jpg,Bengin case (36).jpg,Bengin cases,benign,512,512,RGB,f54251a6871594074d8bc15fafd61d10
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (37).jpg,Bengin case (37).jpg,Bengin cases,benign,512,512,RGB,ef1f7807d0f0c5641da1c09b1ad10da5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (38).jpg,Bengin case (38).jpg,Bengin cases,benign,512,512,RGB,8d0e3e5e7645465ec0e805cd99f36ba5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (39).jpg,Bengin case (39).jpg,Bengin cases,benign,512,512,RGB,178bd3bdb1f6506b19cf2b42e1a54a77
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (4).jpg,Bengin case (4).jpg,Bengin cases,benign,512,512,RGB,84dff4466fc7b1ab499d4e3328b8c984
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (40).jpg,Bengin case (40).jpg,Bengin cases,benign,512,512,RGB,c0ea7756a38c84d1ec70f5b2f449169d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (41).jpg,Bengin case (41).jpg,Bengin cases,benign,512,512,RGB,60a4d23f68e0a2aef868d041b028ef2b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (42).jpg,Bengin case (42).jpg,Bengin cases,benign,512,512,RGB,4189e0fcf90cba637af85ecd721a40c7
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (43).jpg,Bengin case (43).jpg,Bengin cases,benign,512,512,RGB,19f54ee190b2e84310bba97e770bfb82
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (44).jpg,Bengin case (44).jpg,Bengin cases,benign,512,512,RGB,6fa9340bb910cb519aeec136d0658405
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (45).jpg,Bengin case (45).jpg,Bengin cases,benign,512,512,RGB,6dad4dfe2a74d6d1324692ece73be513
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (46).jpg,Bengin case (46).jpg,Bengin cases,benign,512,512,RGB,180a278ece10d728474e0faab02e9741
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (47).jpg,Bengin case (47).jpg,Bengin cases,benign,512,512,RGB,c958130c1506147af4c7e0868c53dd23
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (48).jpg,Bengin case (48).jpg,Bengin cases,benign,512,512,RGB,33d511b36655eed650b0304d85d5c227
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (49).jpg,Bengin case (49).jpg,Bengin cases,benign,512,512,RGB,2e4931322a6b58f767115509466d992c
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (5).jpg,Bengin case (5).jpg,Bengin cases,benign,512,512,RGB,7a2b1289845a1d6ff2224dc90ed6e478
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (50).jpg,Bengin case (50).jpg,Bengin cases,benign,512,512,RGB,f7a55fc5bbcbfbcaa086b5e9d4ddffbb
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (51).jpg,Bengin case (51).jpg,Bengin cases,benign,512,512,RGB,41ce8acbb4f817d7a075d285022646c6
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (52).jpg,Bengin case (52).jpg,Bengin cases,benign,512,512,RGB,e59e07b97d6dce5427aaf88367afb7dd
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (53).jpg,Bengin case (53).jpg,Bengin cases,benign,512,512,RGB,d849b325f8a24665dc2e886ebb5ab674
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (54).jpg,Bengin case (54).jpg,Bengin cases,benign,512,512,RGB,8103b339022b67a928f3a1d123f2084d
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (55).jpg,Bengin case (55).jpg,Bengin cases,benign,512,512,RGB,70ffb66633ddaf50e4ed60fc2a68691e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (56).jpg,Bengin case (56).jpg,Bengin cases,benign,512,512,RGB,d697e4700b11a9ff803e25055e38c20b
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (57).jpg,Bengin case (57).jpg,Bengin cases,benign,512,512,RGB,f4a76b575cf6e32ed57db543f04265ba
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (58).jpg,Bengin case (58).jpg,Bengin cases,benign,512,512,RGB,025329b2c0940101b4d3dcd8b30263ba
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (59).jpg,Bengin case (59).jpg,Bengin cases,benign,512,512,RGB,3236c492a17c87dd6c93796029845d09
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (6).jpg,Bengin case (6).jpg,Bengin cases,benign,512,512,RGB,6867f03db98dd96bdf62b6b00716f8d2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (60).jpg,Bengin case (60).jpg,Bengin cases,benign,512,512,RGB,268bfe92b8ba4a184de3ef40633fba77
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (61).jpg,Bengin case (61).jpg,Bengin cases,benign,512,512,RGB,7b10799ed6b2b37fbf254f06fd3d2957
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (62).jpg,Bengin case (62).jpg,Bengin cases,benign,512,512,RGB,c1dad3237f9966c2adb2fe588cdf6120
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (64).jpg,Bengin case (64).jpg,Bengin cases,benign,512,512,RGB,072e07b5986c5f1c04a74bb6d1ff45db
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (66).jpg,Bengin case (66).jpg,Bengin cases,benign,512,512,RGB,2a2cafb516aa1f4f994f445e17a8ed10
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (67).jpg,Bengin case (67).jpg,Bengin cases,benign,512,512,RGB,e908c08f8d85d3aac5f928d0e0ce4514
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (68).jpg,Bengin case (68).jpg,Bengin cases,benign,512,512,RGB,807c032e771d3df3ccdb639d6d8b2c17
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (69).jpg,Bengin case (69).jpg,Bengin cases,benign,512,512,RGB,ea108d24a314d20f616c44eea8a64daa
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (7).jpg,Bengin case (7).jpg,Bengin cases,benign,512,512,RGB,be53a2dc3b6b993c3f26beae4f486fa5
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (70).jpg,Bengin case (70).jpg,Bengin cases,benign,512,512,RGB,bdb8e1c3244235d04a2f7512f69a40e2
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (71).jpg,Bengin case (71).jpg,Bengin cases,benign,512,512,RGB,5352be9718c77e63087503e197f9592e
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (73).jpg,Bengin case (73).jpg,Bengin cases,benign,512,512,RGB,1439fe5f46477178d5f5ebe934576dc4
C:\Users\Usuario\.cache\kagglehub\datasets\adityamahimkar\iqothnccd-lung-cancer-dataset\versions\2\The IQ-OTHNCCD lung cancer dataset\The IQ-OTHNCCD lung cancer dataset\Bengin cases\Bengin case (74).jpg,Bengin case (74).jpg,Bengin cases,benign,512,512,RGB,304bc5232da6e3ae59fc84950e828e13
